  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM      Cpmin   XCpmin   Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000   0.4741   0.00690   0.00142  -0.1035  -0.7746   0.2707   0.6103   0.3934
   1.000   0.5202   0.00652   0.00161  -0.1034  -0.8671   0.2506   0.5824   0.5810
   2.000   0.5708   0.00598   0.00191  -0.1033  -0.9671   0.2109   0.5224   0.8450
   3.000   0.8052   0.00674   0.00219  -0.1024  -1.0791   0.1674   0.4899   1.0000
   4.000   0.9135   0.00721   0.00256  -0.1018  -1.2155   0.0998   0.4606   1.0000
   5.000   1.0203   0.00779   0.00302  -0.1010  -1.4858   0.0166   0.4251   1.0000
   6.000   1.1250   0.00848   0.00358  -0.0999  -1.9000   0.0087   0.3767   1.0000
   7.000   1.2224   0.00966   0.00446  -0.0977  -2.3977   0.0050   0.3018   1.0000
   8.000   1.3056   0.01175   0.00598  -0.0933  -2.9476   0.0036   0.1893   1.0000
   9.000   1.3749   0.01442   0.00809  -0.0868  -3.5180   0.0036   0.0920   1.0000
  10.000   1.4351   0.01682   0.01029  -0.0788  -4.1294   0.0024   0.0519   1.0000
  11.000   1.4912   0.01954   0.01301  -0.0712  -4.7707   0.0015   0.0354   1.0000
  12.000   1.5417   0.02288   0.01646  -0.0640  -5.4463   0.0015   0.0275   1.0000
  13.000   1.5815   0.02740   0.02117  -0.0573  -6.0934   0.0015   0.0228   1.0000
  14.000   1.6082   0.03370   0.02769  -0.0516  -6.7338   0.0008   0.0195   1.0000
  15.000   1.6253   0.04176   0.03601  -0.0476  -7.3412   0.0008   0.0173   1.0000
  16.000   1.6248   0.05288   0.04748  -0.0454  -7.8369   0.0008   0.0158   1.0000
  17.000   1.6185   0.06577   0.06070  -0.0455  -8.3018   0.0008   0.0146   1.0000
  18.000   1.5794   0.08401   0.07933  -0.0480  -8.5165   0.0003   0.0135   1.0000
  19.000   1.5580   0.10057   0.09627  -0.0517  -8.8592   0.0003   0.0129   1.0000
  20.000   1.5270   0.11931   0.11538  -0.0576  -9.0922   0.0003   0.0122   1.0000
   
  

